rid,relation
0,concept:arthropodthatfeedoninsect
1,concept:teamplaysincity
2,concept:organizationhastopmember
3,concept:citystadiums
4,concept:createdbyagent
5,concept:proxyfor
6,concept:organizationcreatedatdate
7,concept:cityliesonriver
8,concept:coachworksincountry
9,concept:academicprogramatuniversity
10,concept:countryisthehomeofsportsteam
11,concept:arthropodlookslikeinsect
12,concept:cityhotels
13,concept:subpartoforganization
14,concept:athleteinjuredhisbodypart
15,concept:persondiedinlocation
16,concept:worker
17,concept:organizationcreatedbyperson
18,concept:inverseofbankchiefexecutiveceo
19,concept:countrycities
20,concept:stateorprovinceresidenceofperson
21,concept:citynewspaper
22,concept:personhasresidenceincountry
23,concept:leagueplayers
24,concept:musicianplaysinstrument
25,concept:generalizationof
26,concept:personleadscity
27,concept:sportusesstadium
28,concept:personhasparent
29,concept:wifeof
30,concept:topmemberoforganization
31,concept:istallerthan
32,concept:publicationjournalist
33,concept:statehascapital
34,concept:statecontainsfarm
35,concept:teamplayssport
36,concept:countryhascompanyoffice
37,concept:countryofpersonbirth
38,concept:locationofitemexistence
39,concept:inverseofagriculturalproductcookedwithagricultureproduct
40,concept:ismultipleof
41,concept:dateof
42,concept:countrycontainsfarm
43,concept:inverseofanimalsuchasinsect
44,concept:equipmentusedbysport
45,concept:organizationhasagent
46,concept:companyceo
47,concept:inverseoflanguegeschoolincity
48,concept:politicianholdsoffice
49,concept:geopoliticallocationresidenceofpersion
50,concept:stadiumhometoathlete
51,concept:officeheldbypolitician
52,concept:politicianusendorsespoliticianus
53,concept:inverseofagriculturalproducttoattractinsect
54,concept:persondeathdate
55,concept:winneringame
56,concept:beveragemadefrombeverage
57,concept:athleteplaysforteam
58,concept:instrumentplayedbymusician
59,concept:agriculturalproductcookedwithagriculturalproduct
60,concept:inverseofanimalssuchasmammals
61,concept:arthropodandotherarthropod
62,concept:geopoliticallocationcontainscity
63,concept:agentinvolvedwithitem
64,concept:organizationacronymhasname
65,concept:stadiumhometeam
66,concept:marriedinyear
67,concept:musicalartisthadapetanimal
68,concept:chemicaltypehaschemical
69,concept:worksfor
70,concept:producedby
71,concept:drugworkedonbyagent
72,concept:geopoliticalorganizationleadbyperson
73,concept:inverseofwriterwasbornincity
74,concept:athletecoach
75,concept:organizationheadquarteredincountry
76,concept:automakerproducesmodel
77,concept:stadiumhometosport
78,concept:athleteplayssport
79,concept:inverseofinsecteatsgrain
80,concept:sportusesequipment
81,concept:companyalsoknownas
82,concept:acquired
83,concept:cityhasairport
84,concept:iteminvolvedwithagent
85,concept:animaltypehasanimal
86,concept:locationofpersondeath
87,concept:musicgenreartist
88,concept:inverseofclothingmadefromplant
89,concept:inverseofarachnidiseatenbybird
90,concept:stateorprovinceoforganizationheadquarters
91,concept:agriculturalproductgrowninlandscapefeatures
92,concept:animaleatfood
93,concept:inverseofvegetableproductioninstateorprovince
94,concept:jobpositionheldbyperson
95,concept:professiontypehasprofession
96,concept:inverseofagriculturalproductgrowninlandscapefeature
97,concept:agriculturalproducttoattractinsect
98,concept:hospitalincity
99,concept:personbornincountry
100,concept:dateoforganizationcreation
101,concept:hasofficeincity
102,concept:statehaslake
103,concept:producesproduct
104,concept:stateorprovinceisborderedbystateorprovince
105,concept:museumincity
106,concept:countrycapital
107,concept:personhasresidenceinstateorprovince
108,concept:vegetableproductioninstateorprovince
109,concept:organizationheadquarteredincity
110,concept:personbelongstoorganization
111,concept:personhasresidenceincity
112,concept:inverseofprofessionactsatthesameareaofpoliticissue
113,concept:fatherofperson
114,concept:inverseofdiseasemaybecausedbydrug
115,concept:athletehomestadium
116,concept:chemicalistypeofchemical
117,concept:sportnamehasoriginlanguage
118,concept:televisioncompanyaffiliate
119,concept:productproducedincountry
120,concept:diseasemaybecausedbydrug
121,concept:personborninlocation
122,concept:sportfansincountry
123,concept:inverseofmammalsuchasmammal
124,concept:citylocatedincountry
125,concept:coachesteam
126,concept:specializationof
127,concept:farmlocatedincountry
128,concept:inverseofanimaleatfood
129,concept:personalsoknownas
130,concept:inverseofinvertebratefeedonfood
131,concept:subjectconcernedbyacademicfield
132,concept:citytelevisionstation
133,concept:inverseofcoachcanspeaklanguage
134,concept:agentcontrols
135,concept:agentcreated
136,concept:objectfoundinscene
137,concept:personattendsschool
138,concept:organizationnamehasacronym
139,concept:countrylanguage
140,concept:inverseofvegetableisproducedatcountry
141,concept:weaponmadeincountry
142,concept:bodypartcontainsbodypart
143,concept:agentcontributedtocreativework
144,concept:agentparticipatedinevent
145,concept:economicsectorcompany
146,concept:schoolgraduatedperson
147,concept:cityhashospital
148,concept:players
149,concept:jobpositionusesacademicfield
150,concept:inverseofanimalfeedoninsect
151,concept:athletealsoknownas
152,concept:arthropodcanbeveryirritatingtomammal
153,concept:vegetableisproducedatcountry
154,concept:languageofuniversity
155,concept:teammember
156,concept:inverseofarthropodcalledarthropod
157,concept:countryhascitizen
158,concept:inverseofagriculturalproductgrowinginstateorprovince
159,concept:creativeworkcontributedtobyagent
160,concept:inverseofsportschoolincountry
161,concept:itemfoundinroom
162,concept:academicfieldusedinjobposition
163,concept:inverseofweaponmadeincountry
164,concept:languageofsportsgame
165,concept:personbirthdate
166,concept:inverseofautomobilemakerdealersincountry
167,concept:academicfieldsuchasacademicfield
168,concept:countryofpersondeath
169,concept:animalsuchasfish
170,concept:cityalsoknownas
171,concept:inverseofcountriessuchascountries
172,concept:teamhomestadium
173,concept:parkincity
174,concept:superpartof
175,concept:organizationleadbyperson
176,concept:companiesheadquarteredhere
177,concept:academicfieldusedbyeconomicsector
178,concept:locationlocatedwithinlocation
179,concept:inverseofbankbankincountry
180,concept:countryoforganizationheadquarters
181,concept:motherofperson
182,concept:bankchiefexecutiveceo
183,concept:agriculturalproductcamefromcountry
184,concept:agentholdssharesincompany
185,concept:clothingmadefromplant
186,concept:personterminatedbyorganization
187,concept:cityofpersonbirth
188,concept:inverseofarthropodlooklikeinsect
189,concept:academicfieldconcernssubject
190,concept:politicianusholdsoffice
191,concept:politicianuswenttoschool
192,concept:economicsectorusingacademicfield
193,concept:organizationhasofficialwebsite
194,concept:automobilemakerdealersincountry
195,concept:officialwebsiteoforganization
196,concept:inverseofarthropodfeedoninsect
197,concept:dateofsportsgame
198,concept:persondiedincity
199,concept:organizationterminatedperson
200,concept:atlocation
201,concept:stateorprovinceofpersonbirth
202,concept:inverseofmusicalartisthadapetanimal
203,concept:locationofpersonbirth
204,concept:radiostationincity
205,concept:cityhascompanyoffice
206,concept:persongraduatedfromuniversity
207,concept:personhasjobposition
208,concept:superpartoforganization
209,concept:geopoliticallocationcontainscountry
210,concept:countrylocatedingeopoliticallocation
211,concept:inverseoffooddecreasestheriskofdisease
212,concept:musicartistmusician
213,concept:animalsuchasinsect
214,concept:synonymfor
215,concept:animalpreyson
216,concept:inverseofacademicfieldsuchasacademicfield
217,concept:yearofmarriage
218,concept:dateofpersondeath
219,concept:mammalcanbeirritatedbyarthropod
220,concept:inverseofbeveragemadefrombeverage
221,concept:inverseofanimaleatvegetable
222,concept:automobilemakercardealersinstateorprovince
223,concept:isoneoccurrenceof
224,concept:itemexistsatlocation
225,concept:countrycurrency
226,concept:coachcanspeaklanguage
227,concept:citylocatedinstate
228,concept:citysportsteams
229,concept:attractionofcity
230,concept:professionistypeofprofession
231,concept:citylanguage
232,concept:cityparks
233,concept:personleadsgeopoliticalorganization
234,concept:invertebrateturnintoinsect
235,concept:politicianusendorsedbypoliticianus
236,concept:stadiumoreventvenuedisclosescompany
237,concept:animalthatfeedoninsect
238,concept:sportteam
239,concept:citycapitalofcountry
240,concept:televisionstationincity
241,concept:inverseofagriculturalproductincludingagriculturalproduct
242,concept:cityofpersondeath
243,concept:lakeinstate
244,concept:politicalgroupofpoliticianus
245,concept:teammate
246,concept:riverflowsthroughcity
247,concept:inverseofanimalsuchasfish
248,concept:organizationalsoknownas
249,concept:personhascitizenship
250,concept:inverseofpersongraduatedfromuniversity
251,concept:arachnidiseatenbybird
252,concept:personleadsorganization
253,concept:languageofcity
254,concept:leaguestadiums
255,concept:cityattractions
256,concept:subpartof
257,concept:animalsuchasinvertebrate
258,concept:animalssuchasmammals
259,concept:bodypartwithinbodypart
260,concept:inverseofanimalsuchasmollusk
261,concept:transportationincity
262,concept:automobilemakerchiefexecutiveceo
263,concept:teamplaysagainstteam
264,concept:dateoforganzationdissolution
265,concept:statehasmountain
266,concept:headquarteredin
267,concept:leagueteams
268,concept:mammalsuchasmammal
269,concept:persongraduatedschool
270,concept:inverseofathleteinjuredhisbodypart
271,concept:inverseofstadiumoreventvenuedisclosescompany
272,concept:competeswith
273,concept:statelocatedingeopoliticallocation
274,concept:companyeconomicsector
275,concept:inverseofautomobilemakerdealersincity
276,concept:parentofperson
277,concept:arthropodcalledarthropod
278,concept:musicianinmusicartist
279,concept:citycapitalofstate
280,concept:politicianusmemberofpoliticalgroup
281,concept:universityoperatesinlanguage
282,concept:organizationheadquarteredinstateorprovince
283,concept:countryresidenceofperson
284,concept:farmlocatedinstate
285,concept:personhasmother
286,concept:insecteatsgrain
287,concept:scenecontainsobject
288,concept:universityincity
289,concept:sportsgamedate
290,concept:locatedat
291,concept:organizationdissolvedatdate
292,concept:cityleadbyperson
293,concept:personwrittenaboutinpublication
294,concept:agentcompeteswithagent
295,concept:companyhasshareholder
296,concept:bankbankincountry
297,concept:citymuseums
298,concept:farmproducesagriculturalproduct
299,concept:athleteledsportsteam
300,concept:personhasfather
301,concept:agentworkedondrug
302,concept:bankboughtbank
303,concept:cityuniversities
304,concept:sportsgameteam
305,concept:agriculturalproductproducedbyfarm
306,concept:clothingtogowithclothing
307,concept:personbornincity
308,concept:inverseofanimalsuchasinvertebrate
309,concept:inverseofathleteledsportsteam
310,concept:citycontainsbuilding
311,concept:agentactsinlocation
312,concept:airportincity
313,concept:agentcollaborateswithagent
314,concept:automodelproducedbymaker
315,concept:mutualproxyfor
316,concept:personmovedtostateorprovince
317,concept:hotelincity
318,concept:officeheldbypoliticianus
319,concept:teamcoach
320,concept:invertebratefeedonfood
321,concept:roomcancontainitem
322,concept:dateofpersonbirth
323,concept:schoolattendedbyperson
324,concept:atdate
325,concept:buildinglocatedincity
326,concept:cityhostsattraction
327,concept:animaldevelopdisease
328,concept:hassibling
329,concept:stadiumlocatedincity
330,concept:languageofcountry
331,concept:cityradiostation
332,concept:leaguecoaches
333,concept:inverseofarthropodandotherarthropod
334,concept:locationcontainslocation
335,concept:countriessuchascountries
336,concept:inverseofautomobilemakerchiefexecutiveceo
337,concept:husbandof
338,concept:universityhasacademicprogram
339,concept:hasfamilymember
340,concept:inverseofsportfansincountry
341,concept:ageofperson
342,concept:ceoof
343,concept:inverseofagriculturalproductcamefromcountry
344,concept:agenthaswebsite
345,concept:sportschoolincountry
346,concept:inverseofautomobilemakercardealersinstateorprovince
347,concept:sportsgamewinner
348,concept:cityhastransportation
349,concept:politicianrepresentslocation
350,concept:personhasage
351,concept:teamplaysinleague
352,concept:journalistwritesforpublication
353,concept:agriculturalproductgrowinginstateorprovince
354,concept:organizationhasperson
355,concept:locationactedinbyagent
356,concept:proxyof
357,concept:personhiredbyorganization
358,concept:inverseofpersonmovedtostateorprovince
359,concept:acquiredby
360,concept:stadiumhometoleague
361,concept:animalpredators
362,concept:professionactsatthesameareaofpoliticissue
363,concept:cityoforganizationheadquarters
364,concept:countryalsoknownas
365,concept:fooddecreasestheriskofdisease
366,concept:mountaininstate
367,concept:countrystates
368,concept:personborninstateorprovince
369,concept:eventhasparticipantagent
370,concept:teamingame
371,concept:inverseofanimaldevelopdisease
372,concept:languageschoolincity
373,concept:musicartistgenre
374,concept:hasofficeincountry
375,concept:hasspouse
376,concept:inverseofinvertebrateturnintoinsect
377,concept:athleteplaysinleague
378,concept:websiteoperatedbyagent
379,concept:hashusband
380,concept:agentcreatedorganization
381,concept:agriculturalproductincludingagriculturalproduct
382,concept:currencycountry
383,concept:agentowns
384,concept:statecontainscity
385,concept:automobilemakerdealersincity
386,concept:agentbelongstoorganization
387,concept:persondiedincountry
388,concept:fishservedwithfood
389,concept:controlledbyagent
390,concept:coachesinleague
391,concept:haswife
392,concept:locationrepresentedbypolitician
393,concept:ownedbyagent
394,concept:televisionstationaffiliatedwith
395,concept:attractionbefallincity
396,concept:animalistypeofanimal
397,concept:countryproducesproduct
398,concept:citylocatedingeopoliticallocation
399,concept:inverseofbankboughtbank
400,concept:inverseoffishservedwithfood
401,concept:statelocatedincountry
402,concept:teamalsoknownas
403,concept:inverseofpoliticianuswenttoschool
404,concept:publicationwritesabout
405,concept:coachesathlete
406,concept:organizationhiredperson
407,concept:isshorterthan
408,concept:personhasresidenceingeopoliticallocation
409,concept:inverseofcoachworksincountry
410,concept:inverseofcountryisthehomeofsportsteam
411,concept:newspaperincity
412,concept:animalsuchasmollusk
413,concept:cityresidenceofperson
414,concept:geopoliticallocationcontainsstate
415,concept:writerwasbornincity
416,concept:animaleatvegetable
